TIME;TPF ALL AVG
2025-11-10 08:05:00;-0,74
2025-11-10 08:15:00;-0,77
2025-11-10 08:25:00;-0,78
2025-11-10 08:35:00;-0,79
2025-11-10 08:45:00;-0,74
2025-11-10 08:55:00;-0,82
2025-11-10 09:05:00;-0,36
2025-11-10 09:15:00;-0,2
2025-11-10 09:25:00;-0,15
2025-11-10 09:35:00;-0,15
2025-11-10 09:45:00;-0,15
2025-11-10 09:55:00;-0,15
2025-11-10 10:05:00;-0,15
2025-11-10 10:15:00;-0,15
2025-11-10 10:25:00;-0,15
2025-11-10 10:35:00;-0,15
2025-11-10 10:45:00;-0,15
2025-11-10 10:55:00;-0,41
2025-11-10 11:05:00;-0,81
2025-11-10 11:15:00;-0,79
2025-11-10 11:25:00;-0,79
2025-11-10 11:35:00;-0,73
2025-11-10 11:45:00;-0,73
2025-11-10 11:55:00;-0,7
2025-11-10 12:05:00;-0,72
2025-11-10 12:15:00;-0,72
2025-11-10 12:25:00;-0,73
2025-11-10 12:35:00;-0,22
2025-11-10 12:45:00;-0,01
2025-11-10 12:55:00;-0,01
2025-11-10 13:05:00;-0,01
2025-11-10 13:15:00;0,02
2025-11-10 13:25:00;0,04
2025-11-10 13:35:00;0,04
2025-11-10 13:45:00;0,04
2025-11-10 13:55:00;-0,04
2025-11-10 14:05:00;-0,06
2025-11-10 14:15:00;-0,55
2025-11-10 14:25:00;-0,69
2025-11-10 14:35:00;-0,68
2025-11-10 14:45:00;-0,7
2025-11-10 14:55:00;-0,7
2025-11-10 15:05:00;-0,67
2025-11-10 15:15:00;-0,69
2025-11-10 15:25:00;-0,68
2025-11-10 15:35:00;-0,67
2025-11-10 15:45:00;-0,18
2025-11-10 15:55:00;-0,15
2025-11-10 16:05:00;-0,16
2025-11-10 16:15:00;-0,14
2025-11-10 16:25:00;-0,61
2025-11-10 16:35:00;-0,81
2025-11-10 16:45:00;-0,83
2025-11-10 16:55:00;-0,84
2025-11-10 17:05:00;-0,85
2025-11-10 17:15:00;-0,82
2025-11-10 17:25:00;-0,74
2025-11-10 17:35:00;-0,21
2025-11-10 17:45:00;-0,25
2025-11-10 17:55:00;-0,3
2025-11-10 18:05:00;-0,3
2025-11-10 18:15:00;-0,41
2025-11-10 18:25:00;-0,49
2025-11-10 18:35:00;-0,55
2025-11-10 18:45:00;-0,88
2025-11-10 18:55:00;-0,85
2025-11-10 19:05:00;-0,85
2025-11-10 19:15:00;-0,83
2025-11-10 19:25:00;-0,81
2025-11-10 19:35:00;-0,81
2025-11-10 19:45:00;-0,82
2025-11-10 19:55:00;-0,8
2025-11-10 20:05:00;-0,8
2025-11-10 20:15:00;-0,83
2025-11-10 20:25:00;-0,83
2025-11-10 20:35:00;-0,82
2025-11-10 20:45:00;-0,82
2025-11-10 20:55:00;-0,82
2025-11-10 21:05:00;-0,67
2025-11-10 21:15:00;-0,69
2025-11-10 21:25:00;-0,63
2025-11-10 21:35:00;-0,62
2025-11-10 21:45:00;-0,64
2025-11-10 21:55:00;-0,71
2025-11-10 22:05:00;-0,72
2025-11-10 22:15:00;-0,72
2025-11-10 22:25:00;-0,71
2025-11-10 22:35:00;-0,67
2025-11-10 22:45:00;-0,36
2025-11-10 22:55:00;0,01
2025-11-10 23:05:00;0,03
2025-11-10 23:15:00;0,03
2025-11-10 23:25:00;0,03
2025-11-10 23:35:00;0,03
2025-11-10 23:45:00;0,03
2025-11-10 23:55:00;0,03
2025-11-11 00:05:00;0,03
2025-11-11 00:15:00;0,03
2025-11-11 00:25:00;0,03
2025-11-11 00:35:00;0,03
2025-11-11 00:45:00;0,03
2025-11-11 00:55:00;-0,1
2025-11-11 01:05:00;-0,11
2025-11-11 01:15:00;-0,11
2025-11-11 01:25:00;-0,11
2025-11-11 01:35:00;-0,11
2025-11-11 01:45:00;-0,11
2025-11-11 01:55:00;-0,11
2025-11-11 02:05:00;-0,11
2025-11-11 02:15:00;-0,13
2025-11-11 02:25:00;-0,13
2025-11-11 02:35:00;-0,12
2025-11-11 02:45:00;-0,11
2025-11-11 02:55:00;-0,11
2025-11-11 03:05:00;-0,11
2025-11-11 03:15:00;-0,11
2025-11-11 03:25:00;-0,11
2025-11-11 03:35:00;-0,11
2025-11-11 03:45:00;-0,11
2025-11-11 03:55:00;-0,11
2025-11-11 04:05:00;-0,11
2025-11-11 04:15:00;-0,11
2025-11-11 04:25:00;-0,11
2025-11-11 04:35:00;-0,11
2025-11-11 04:45:00;-0,12
2025-11-11 04:55:00;-0,11
2025-11-11 05:05:00;-0,11
2025-11-11 05:15:00;-0,11
2025-11-11 05:25:00;-0,11
2025-11-11 05:35:00;-0,11
2025-11-11 05:45:00;-0,11
2025-11-11 05:55:00;-0,11
2025-11-11 06:05:00;-0,11
2025-11-11 06:15:00;-0,11
2025-11-11 06:25:00;-0,11
2025-11-11 06:35:00;-0,11
2025-11-11 06:45:00;-0,11
2025-11-11 06:55:00;-0,11
2025-11-11 07:05:00;-0,11
2025-11-11 07:15:00;-0,11
2025-11-11 07:25:00;-0,11
2025-11-11 07:35:00;-0,11
2025-11-11 07:45:00;-0,09
2025-11-11 07:55:00;-0,74
2025-11-11 08:05:00;-0,74
2025-11-11 08:15:00;-0,74
2025-11-11 08:25:00;-0,69
2025-11-11 08:35:00;-0,72
2025-11-11 08:45:00;-0,71
2025-11-11 08:55:00;-0,65
2025-11-11 09:05:00;-0,78
2025-11-11 09:15:00;-0,81
2025-11-11 09:25:00;-0,76
2025-11-11 09:35:00;-0,75
2025-11-11 09:45:00;-0,73
2025-11-11 09:55:00;-0,75
2025-11-11 10:05:00;-0,7
2025-11-11 10:15:00;-0,69
2025-11-11 10:25:00;-0,73
2025-11-11 10:35:00;-0,74
2025-11-11 10:45:00;-0,73
2025-11-11 10:55:00;-0,78
2025-11-11 11:05:00;-0,81
2025-11-11 11:15:00;-0,78
2025-11-11 11:25:00;-0,72
2025-11-11 11:35:00;-0,71
2025-11-11 11:45:00;-0,7
2025-11-11 11:55:00;-0,72
2025-11-11 12:05:00;-0,73
2025-11-11 12:15:00;-0,72
2025-11-11 12:25:00;-0,69
2025-11-11 12:35:00;-0,13
2025-11-11 12:45:00;-0,23
2025-11-11 12:55:00;-0,22
2025-11-11 13:05:00;-0,11
2025-11-11 13:15:00;-0,11
2025-11-11 13:25:00;-0,11
2025-11-11 13:35:00;-0,11
2025-11-11 13:45:00;-0,11
2025-11-11 13:55:00;-0,11
2025-11-11 14:05:00;-0,58
2025-11-11 14:15:00;-0,76
2025-11-11 14:25:00;-0,74
2025-11-11 14:35:00;-0,68
2025-11-11 14:45:00;-0,67
2025-11-11 14:55:00;-0,66
2025-11-11 15:05:00;-0,67
2025-11-11 15:15:00;-0,7
2025-11-11 15:25:00;-0,72
2025-11-11 15:35:00;-0,71
2025-11-11 15:45:00;-0,71
2025-11-11 15:55:00;-0,69
2025-11-11 16:05:00;-0,66
2025-11-11 16:15:00;-0,6
2025-11-11 16:25:00;-0,5
2025-11-11 16:35:00;-0,54
2025-11-11 16:45:00;-0,59
2025-11-11 16:55:00;-0,58
2025-11-11 17:05:00;-0,47
2025-11-11 17:15:00;-0,46
2025-11-11 17:25:00;-0,45
2025-11-11 17:35:00;-0,4
2025-11-11 17:45:00;-0,35
2025-11-11 17:55:00;-0,35
2025-11-11 18:05:00;-0,35
2025-11-11 18:15:00;-0,35
2025-11-11 18:25:00;-0,36
2025-11-11 18:35:00;-0,44
2025-11-11 18:45:00;-0,6
2025-11-11 18:55:00;-0,6
2025-11-11 19:05:00;-0,54
2025-11-11 19:15:00;-0,53
2025-11-11 19:25:00;-0,54
2025-11-11 19:35:00;-0,44
2025-11-11 19:45:00;-0,51
2025-11-11 19:55:00;-0,51
2025-11-11 20:05:00;-0,51
2025-11-11 20:15:00;-0,51
2025-11-11 20:25:00;-0,56
2025-11-11 20:35:00;-0,58
2025-11-11 20:45:00;-0,59
2025-11-11 20:55:00;-0,54
2025-11-11 21:05:00;-0,53
2025-11-11 21:15:00;-0,48
2025-11-11 21:25:00;-0,42
2025-11-11 21:35:00;-0,19
2025-11-11 21:45:00;-0,12
2025-11-11 21:55:00;-0,11
